ds,y
2015-01-13,1230.88
2015-01-14,1229.95
2015-01-15,1261.64
2015-01-16,1280.3
2015-01-19,1277.08
2015-01-20,1293.94
2015-01-21,1293.44
2015-01-22,1301.73
2015-01-23,1294.55
2015-01-26,1281.24
2015-01-27,1292.35
2015-01-28,1285.1
2015-01-29,1257.25
2015-01-30,1283.55
2015-02-02,1275.44
2015-02-03,1260.2
2015-02-04,1270.05
2015-02-05,1264.7
2015-02-06,1233.72
2015-02-09,1239.68
2015-02-10,1234.0
2015-02-11,1219.16
2015-02-12,1222.5
2015-02-13,1229.7
2015-02-16,1231.47
2015-02-17,1209.4
2015-02-18,1212.99
2015-02-19,1207.45
2015-02-20,1202.39
2015-02-23,1201.92
2015-02-24,1199.89
2015-02-25,1204.8
2015-02-26,1209.05
2015-02-27,1213.15
2015-03-02,1207.1
2015-03-03,1203.8
2015-03-04,1199.85
2015-03-05,1198.6
2015-03-06,1167.21
2015-03-09,1167.3
2015-03-10,1161.93
2015-03-11,1154.8
2015-03-12,1153.7
2015-03-13,1159.48
2015-03-16,1154.59
2015-03-17,1149.3
2015-03-18,1167.25
2015-03-19,1171.3
2015-03-20,1182.68
2015-03-23,1189.3
2015-03-24,1193.13
2015-03-25,1195.45
2015-03-26,1204.38
2015-03-27,1199.3
2015-03-30,1186.2
2015-03-31,1183.5
2015-04-01,1204.1
2015-04-02,1202.59
2015-04-03,1210.9
2015-04-06,1214.7
2015-04-07,1208.6
2015-04-08,1202.8
2015-04-09,1195.01
2015-04-10,1208.05
2015-04-13,1198.85
2015-04-14,1193.58
2015-04-15,1202.05
2015-04-16,1197.65
2015-04-17,1204.65
2015-04-20,1196.5
2015-04-21,1202.68
2015-04-22,1187.3
2015-04-23,1194.0
2015-04-24,1179.38
2015-04-27,1202.0
2015-04-28,1212.1
2015-04-29,1204.8
2015-04-30,1184.37
2015-05-01,1178.5
2015-05-04,1188.25
2015-05-05,1193.33
2015-05-06,1191.8
2015-05-07,1184.8
2015-05-08,1188.15
2015-05-11,1184.2
2015-05-12,1193.5
2015-05-13,1215.73
2015-05-14,1221.52
2015-05-15,1223.85
2015-05-18,1225.74
2015-05-19,1207.51
2015-05-20,1209.28
2015-05-21,1206.45
2015-05-22,1206.38
2015-05-25,1207.17
2015-05-26,1187.3
2015-05-27,1188.15
2015-05-28,1188.45
2015-05-29,1190.5
2015-06-01,1189.15
2015-06-02,1193.38
2015-06-03,1185.5
2015-06-04,1176.26
2015-06-05,1172.0
2015-06-08,1173.95
2015-06-09,1176.7
2015-06-10,1186.48
2015-06-11,1182.3
2015-06-12,1180.8
2015-06-15,1186.4
2015-06-16,1181.86
2015-06-17,1185.45
2015-06-18,1201.42
2015-06-19,1200.51
2015-06-22,1185.45
2015-06-23,1178.44
2015-06-24,1175.2
2015-06-25,1173.33
2015-06-26,1175.07
2015-06-29,1180.36
2015-06-30,1172.6
2015-07-01,1168.8
2015-07-02,1166.15
2015-07-03,1167.94
2015-07-06,1170.15
2015-07-07,1155.55
2015-07-08,1158.28
2015-07-09,1159.65
2015-07-10,1163.96
2015-07-13,1158.0
2015-07-14,1155.53
2015-07-15,1149.65
2015-07-16,1145.15
2015-07-17,1134.1
2015-07-20,1096.95
2015-07-21,1101.41
2015-07-22,1093.45
2015-07-23,1090.8
2015-07-24,1099.1
2015-07-27,1094.42
2015-07-28,1095.35
2015-07-29,1096.69
2015-07-30,1088.99
2015-07-31,1095.65
2015-08-03,1086.5
2015-08-04,1087.45
2015-08-05,1085.05
2015-08-06,1089.41
2015-08-07,1094.2
2015-08-10,1104.51
2015-08-11,1109.01
2015-08-12,1125.3
2015-08-13,1115.05
2015-08-14,1114.11
2015-08-17,1117.66
2015-08-18,1118.01
2015-08-19,1134.46
2015-08-20,1153.16
2015-08-21,1161.05
2015-08-24,1155.05
2015-08-25,1140.65
2015-08-26,1125.55
2015-08-27,1125.71
2015-08-28,1133.96
2015-08-31,1134.5
2015-09-01,1140.11
2015-09-02,1134.05
2015-09-03,1125.25
2015-09-04,1123.0
2015-09-07,1119.47
2015-09-08,1121.8
2015-09-09,1106.1
2015-09-10,1111.55
2015-09-11,1107.9
2015-09-14,1108.8
2015-09-15,1105.4
2015-09-16,1119.55
2015-09-17,1131.4
2015-09-18,1139.4
2015-09-21,1133.3
2015-09-22,1124.8
2015-09-23,1130.4
2015-09-24,1154.01
2015-09-25,1146.24
2015-09-28,1132.05
2015-09-29,1127.46
2015-09-30,1115.0
2015-10-01,1113.55
2015-10-02,1138.14
2015-10-05,1135.75
2015-10-06,1147.11
2015-10-07,1145.4
2015-10-08,1138.96
2015-10-09,1157.53
2015-10-12,1164.0
2015-10-13,1168.8
2015-10-14,1185.19
2015-10-15,1183.11
2015-10-16,1177.2
2015-10-19,1170.45
2015-10-20,1176.11
2015-10-21,1167.1
2015-10-22,1166.05
2015-10-23,1164.26
2015-10-26,1163.2
2015-10-27,1166.95
2015-10-28,1156.1
2015-10-29,1145.91
2015-10-30,1142.38
2015-11-02,1133.75
2015-11-03,1117.6
2015-11-04,1107.44
2015-11-05,1103.95
2015-11-06,1088.64
2015-11-09,1092.1
2015-11-10,1089.91
2015-11-11,1086.14
2015-11-12,1085.05
2015-11-13,1083.64
2015-11-16,1082.85
2015-11-17,1070.37
2015-11-18,1071.14
2015-11-19,1082.4
2015-11-20,1078.1
2015-11-23,1069.34
2015-11-24,1075.49
2015-11-25,1071.39
2015-11-26,1072.25
2015-11-27,1058.81
2015-11-30,1064.42
2015-12-01,1069.49
2015-12-02,1053.69
2015-12-03,1062.57
2015-12-04,1086.99
2015-12-07,1070.39
2015-12-08,1074.69
2015-12-09,1073.21
2015-12-10,1071.54
2015-12-11,1074.89
2015-12-14,1062.9
2015-12-15,1060.74
2015-12-16,1072.94
2015-12-17,1051.74
2015-12-18,1066.19
2015-12-21,1078.44
2015-12-22,1072.36
2015-12-23,1070.35
2015-12-24,1075.88
2015-12-25,1075.88
2015-12-28,1069.05
2015-12-29,1068.99
2015-12-30,1061.45
2015-12-31,1061.3
2016-01-01,1060.74
2016-01-04,1074.7
2016-01-05,1077.66
2016-01-06,1094.45
2016-01-07,1109.25
2016-01-08,1104.24
2016-01-11,1094.26
2016-01-12,1087.05
2016-01-13,1093.49
2016-01-14,1078.0
2016-01-15,1089.1
2016-01-18,1088.9
2016-01-19,1087.12
2016-01-20,1101.02
2016-01-21,1101.6
2016-01-22,1098.3
2016-01-25,1108.05
2016-01-26,1120.57
2016-01-27,1125.59
2016-01-28,1115.14
2016-01-29,1118.04
2016-02-01,1128.85
2016-02-02,1129.12
2016-02-03,1142.93
2016-02-04,1155.74
2016-02-05,1173.69
2016-02-08,1191.14
2016-02-09,1188.85
2016-02-10,1197.49
2016-02-11,1246.89
2016-02-12,1238.05
2016-02-15,1209.95
2016-02-16,1200.35
2016-02-17,1209.14
2016-02-18,1232.35
2016-02-19,1228.19
2016-02-22,1208.74
2016-02-23,1227.46
